CPT Code,Description of Information of CPTCode
P9612,"Catheterization for collection of specimen, single patient, all places of service"
P9615,Catheterization for collection of specimen(s) (multiple patients)
Q0034,Administration of infuenza vaccine to Medicare beneficiaries by participating demonstration sites
Q0035,Cardiokymography
Q0068,Extracorporeal plasmapheresis: immunoabsorption with staphylococcal protein A columns
Q0081,"Infusion therapy, using other than chemotherapeutic drugs, per visit"
Q0082,"Activity therapy furnished in connection with partial hospitalization (e.g., music, dance, art or play therapies that are not primarily recreational), per visit"
Q0083,"Chemotherapy administration by other than infusion technique only (e.g., subcutaneous, intramuscular, push), per visit"
Q0084,"Chemotherapy administration by infusion technique only, per visit"
Q0085,"Chemotherapy administration by both infusion technique and other technique(s) (e.g. subcutaneous, intramuscular, push), per visit"
Q0086,"Physical therapy evaluation/treatment, per visit"
Q0090,"Levonorgestrel-releasing intrauterine contraceptive system, (Skyla), 13.5 mg"
Q0091,"Screening Papanicolaou smear; obtaining, preparing and conveyance of cervical or vaginal smear to laboratory"
Q0092,Set-up portable x-ray equipment
Q0111,"Wet mounts, including preparations of vaginal, cervical or skin specimens"
Q0112,All potassium hydroxide (KOH) preparations
Q0113,Pinworm examinations
Q0114,Fern test
Q0115,"Postcoital direct, qualitative examinations of vaginal or cervical mucous"
Q0132,Dispensing fee for covered drug administered through DME nebulizer
Q0136,"Injection, epoetin alpha, (for non-ESRD use), per 1,000 units"
Q0137,"Injection, darbepoetin alfa, 1 mcg (non-ESRD use)"
Q0138,"Injection, ferumoxytol, for treatment of iron deficiency anemia, 1 mg (non-ESRD use)"
Q0139,"Injection, ferumoxytol, for treatment of iron deficiency anemia, 1 mg (for ESRD on dialysis)"
Q0144,"Azithromycin dihydrate, oral, capsules/powder, 1 g"
Q0156,"Infusion, albumin (human), 5%, 500 ml"
Q0157,"Infusion, albumin (human), 25%, 50 ml"
Q0159,INJ ADENOSINE 90MG (USE A9270 PHOS COMPNDS)
Q0160,"Factor ix (antihemophilic factor, purified, non-recombinant) per i.u."
Q0161,"Factor ix (antihemophilic factor, recombinant) per i.u."
Q0161,"Chlorpromazine HCl, 5 mg, oral, FDA-approved prescription antiemetic, for use as a complete therapeutic substitute for an IV antiemetic at the time of chemotherapy treatment, not to exceed a 48-hour dosage regimen"
Q0162,CATH COLLECT SPEC SINGLE PT ALL POS
Q0162,"Ondansetron 1 mg, oral, FDA-approved prescription antiemetic, for use as a complete therapeutic substitute for an IV antiemetic at the time of chemotherapy treatment, not to exceed a 48-hour dosage regimen"
Q0163,"Diphenhydramine HCl, 50 mg, oral, FDA-approved prescription antiemetic, for use as a complete therapeutic substitute for an IV antiemetic at time of chemotherapy treatment not to exceed a 48-hour dosage regimen"
Q0164,"Prochlorperazine maleate, 5 mg, oral, FDA-approved prescription antiemetic, for use as a complete therapeutic substitute for an IV antiemetic at the time of chemotherapy treatment, not to exceed a 48-hour dosage regimen"
Q0165,"Prochlorperazine maleate, 10 mg, oral, FDA approved prescription antiemetic, for use as a complete therapeutic substitute for an IV antiemetic at the time of chemotherapy treatment, not to exceed a 48-hour dosage regimen"
Q0166,"Granisetron HCl, 1 mg, oral, FDA-approved prescription antiemetic, for use as a complete therapeutic substitute for an IV antiemetic at the time of chemotherapy treatment, not to exceed a 24-hour dosage regimen"
Q0167,"Dronabinol, 2.5 mg, oral, FDA-approved prescription antiemetic, for use as a complete therapeutic substitute for an IV antiemetic at the time of chemotherapy treatment, not to exceed a 48-hour dosage regimen"
Q0168,"Dronabinol, 5 mg, oral, FDA approved prescription antiemetic, for use as a complete therapeutic substitute for an IV antiemetic at the time of chemotherapy treatment, not to exceed a 48-hour dosage regimen"
Q0169,"Promethazine HCl, 12.5 mg, oral, FDA-approved prescription antiemetic, for use as a complete therapeutic substitute for an IV antiemetic at the time of chemotherapy treatment, not to exceed a 48-hour dosage regimen"
Q0170,"Promethazine HCl, 25 mg, oral, FDA approved prescription antiemetic, for use as a complete therapeutic substitute for an IV antiemetic at the time of chemotherapy treatment, not to exceed a 48-hour dosage regimen"
Q0171,"Chlorpromazine HCl, 10 mg, oral, FDA approved prescription antiemetic, for use as a complete therapeutic substitute for an IV antiemetic at the time of chemotherapy treatment, not to exceed a 48-hour dosage regimen"
Q0172,"Chlorpromazine HCl, 25 mg, oral, FDA approved prescription antiemetic, for use as a complete therapeutic substitute for an IV antiemetic at the time of chemotherapy treatment, not to exceed a 48-hour dosage regimen"
Q0173,"Trimethobenzamide HCl, 250 mg, oral, FDA-approved prescription antiemetic, for use as a complete therapeutic substitute for an IV antiemetic at the time of chemotherapy treatment, not to exceed a 48-hour dosage regimen"
Q0174,"Thiethylperazine maleate, 10 mg, oral, FDA-approved prescription antiemetic, for use as a complete therapeutic substitute for an IV antiemetic at the time of chemotherapy treatment, not to exceed a 48-hour dosage regimen"
Q0175,"Perphenazine, 4 mg, oral, FDA-approved prescription antiemetic, for use as a complete therapeutic substitute for an IV antiemetic at the time of chemotherapy treatment, not to exceed a 48-hour dosage regimen"
Q0176,"Perphenazine, 8 mg, oral, FDA approved prescription antiemetic, for use as a complete therapeutic substitute for an IV antiemetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen"
Q0177,"Hydroxyzine pamoate, 25 mg, oral, FDA-approved prescription antiemetic, for use as a complete therapeutic substitute for an IV antiemetic at the time of chemotherapy treatment, not to exceed a 48-hour dosage regimen"
Q0178,"Hydroxyzine pamoate, 50 mg, oral, FDA approved prescription antiemetic, for use as a complete therapeutic substitute for an IV antiemetic at the time of chemotherapy treatment, not to exceed a 48-hour dosage regimen"
Q0179,"Ondansetron HCl 8 mg, oral, FDA approved prescription antiemetic, for use as a complete therapeutic substitute for an IV antiemetic at the time of chemotherapy treatment, not to exceed a 48-hour dosage regimen"
Q0180,"Dolasetron mesylate, 100 mg, oral, FDA-approved prescription antiemetic, for use as a complete therapeutic substitute for an IV antiemetic at the time of chemotherapy treatment, not to exceed a 24-hour dosage regimen"
Q0181,"Unspecified oral dosage form, FDA-approved prescription antiemetic, for use as a complete therapeutic substitute for an IV antiemetic at the time of chemotherapy treatment, not to exceed a 48-hour dosage regimen"
Q0182,"Dermal and epidermal, tissue of non-human origin, with or without other bioengineered or processed elements, without metabolically active elements, per square centimeter"
Q0183,"Dermal tissue, of human origin, with and without other bioengineered or processed elements, but without metabolically active elements, per square centimeter"
Q0184,"Dermal tissue, of human origin, with or without other bioengineered or processed elements, with metabolically active elements, per square centimeter"
Q0185,"Dermal and epidermal, tissue of human origin, with or without bioengineered or processed elements, with metabolically active elements, per square centimeter"
Q0187,"Factor VIIa (coagulation factor, recombinant) per 1.2 mg"
Q0188,"SUPPLY OF INJECTABLE CONTRAST MATERIAL FOR USE IN ECHOCARDIOGRAPHY, PER STUDY"
Q0239,"Injection, Bamlanivimab, 700 mg"
Q0477,"Power module patient cable for use with electric or electric/pneumatic ventricular assist device, replacement only"
Q0478,"Power adapter for use with electric or electric/pneumatic ventricular assist device, vehicle type"
Q0479,"Power module for use with electric or electric/pneumatic ventricular assist device, replacement only"
Q0480,"Driver for use with pneumatic ventricular assist device, replacement only"
Q0481,"Microprocessor control unit for use with electric ventricular assist device, replacement only"
Q0482,"Microprocessor control unit for use with electric/pneumatic combination ventricular assist device, replacement only"
